word,count
inflation,69
data,32
policy,23
rate,22
basis,20
monetary,20
target,20
question,17
also,16
growth,16
meeting,15
decision,15
restrictive,15
term,15
economic,14
point,14
particular,13
economy,13
cut,13
rates,12
expected,12
medium,12
september,12
prices,12
trade,12
think,12
december,12
outlook,11
well,11
course,11
still,11
see,11
second,11
today,10
lower,10
three,10
dependent,10
now,10
really,10
whether,10
look,10
activity,9
next,9
fiscal,9
direction,9
can,9
numbers,9
bit,9
forecast,9
points,8
